invoice_details,line_items,summary
"Invoice Number: 89959314, Date: 09/01/2012, Seller: , Client: robinson group wolf and sons 785 bishop views suite 203 639 michael prairie suite 405 west georgeside me 40138 taylortown la 49456",N/A,net worth vat gross worth vintage set of 3 cobalt blue 300 each 2400 7200 10 7920 glass wine glasses water goblets barware stemware 2 press wine 15l fruit cider 500 each 27900 1 39500 10 1 53450 apple crusher juice grape stainless maker grapes new 3 nib corkit wine cork bottle 300 each 1495 85 10 4933 display holder industrial steampunk modern art new cylinder glass parot for 200 each 3500 7000 10 7700 100ml whiskey wine beer forces of alcohol hooch summary vat net worth vat gross worth 10 1 58185 15819 1 74004 total 1 58185 15819 1 74004 448
"Invoice Number: 68350338, Date: 04/25/2012, Seller: , Client: mendoza-gonzalez chapman scott and jennings 54426 sandoval loaf 5744 christy tunnel suite 953 south carolynborough ut 14019 lake kirstenview ri 67905",N/A,net worth vat gross worth dell optiplex xe2 sff desktop 500 each 9900 49500 10 54450 computer w1o pro licensed 2 ryzen gaming computer 200 each 75200 1 50400 10 1 65440 open box: dell xps 8930 200 each 71811 1 43622 10 1 57984 desktop computer intel core i7 8gb ram 1tb hdd black sentry gaming computer 100 each 59499 59499 10 65449 ryzen 3 32006 16 gb ram build-to-order 5 custom built amd ryzen 300 each 1 40000 4 20000 10 4 62000 threadripper gaming computer 32 gb ram summary vat net worth vat gross worth 10 8 23021 82302 9 05323 total 8 23021 82302 9 05323
"Invoice Number: 76322049, Date: 05/21/2021, Seller: , Client: carter molina and garcia jones llc 6710 sean ports 0875 charles village suite 140 lake kristine ct 42610 reidfort nc 33037",N/A,net worth vat gross worth 1. straw dogs thoughts on 400 each 1399 5596 10 6156 humans and other animals paperback by gray john l _ 2 titans of the rising sun 300 each 753 2259 10 2485 yamato class battleships of world war il book 3 the graphic design reference 200 each 2018 4036 10 4440 specification book: everything graphic designers sasinowski m-legacy of ra 300 each 1940 5820 10 6402 book new summary vat net worth vat gross worth 10 17711 1771 19482 total 17711 1771 19482
"Invoice Number: 74221189, Date: 10/26/2015, Seller: , Client: perry inc caldwell-jordan 840 michael suite 713 778 morris locks patrickburgh al 35846 west travisborough la 17973",N/A,net worth vat gross worth zara trafaluc metallic gold 200 each 1299 2598 10 2858 black stripe lis collar dress small 2 lilly pulitzer dress size 0 300 each 4500 13500 10 14850 3 xhilaration womens l burgandy 200 each 1495 2990 10 3289 boho embroidered festival mini dress new women elegant fashion o-neck 400 each 1200 4800 10 5280 knee length short sleeve retro floral print dress summary vat net worth vat gross worth 10 23888 2389 26277 total 23888 2389 26277 key
"Invoice Number: 45302561, Date: 11/25/2015, Seller: , Client: wright-hall finley plc 3641 sawyer ridge suite 572 71106 jessica rapid suite 235 roberttown mn 62250 new margaretburgh ne 02077",N/A,net worth vat gross worth 60 inches marble dinning table 200 each 5 75600 11 51200 10 12 66320 top inlay work lawn table with multi color stones 2 7x4 marble living room center 400 each 16 88762 67 55048 10 74 30553 table top yellowish sea shell inlay decor e863a 3 36 inches marble dinning table 500 each 1 45125 7 25625 10 98187 top hand inlaid office table with multi gemstones 5x2 marble white center table 400 each 3 88889 15 55556 10 17 11112 top with 18 tall stand pauashell inlay art deco 5 yellow marble royal look 300 each 6 07600 18 22800 10 20 05080 marble inlay table top handmade dinning table 60 inches 6 26x26 black marble round 300 each 1 28800 3 86400 10 4 25040 top table grapes art inlay floral christmas gift deco carnelian stone inlay art marble 400 each 22525 90100 10 99110 coffee table top white corner table 14 inches summary vat net worth vat gross worth 10 124 86729 12 48673 137 35402 total 124 86729 12 48673 137 35402
"Invoice Number: 14165207, Date: 02/13/2014, Seller: , Client: patel-park adkins hodges and hawkins 90300 wyatt 6886 fernandez village rebeccaton oh 55733 brianhaven md 41714",N/A,net worth vat gross worth 1 the art of glen loates 200 each 608 1216 10 1338 2 black dragon codex the 300 each 449 1347 10 1482 dragon codices by r.d. henham 3 quilts of illusion 300 each 579 1737 10 1911 walleye wisdom 100 each 449 449 10 494 5 fundamentals of cosmobiology 100 each 995 995 10 1094 a correspondence study eleonora kimmel 1972 sc dont sweat the small stuff 400 each 449 1796 10 1976 and its ail small stuff: simple ways to keep red dragon codex deckle 300 each 449 1347 10 1482 edge the dragon codices by r.d henham summary vat net worth vat gross worth 10 8887 889 9776 total 8887 889 9776 alley
"Invoice Number: 58269935, Date: 11/12/2017, Seller: , Client: brown jackson and keller stephens llc unit 5492 box 4350 8088 garcia apt: 489 dpo ae 47685 east geraldville nj 12475",N/A,net worth vat gross worth 4 pcs kids size cartoon peppa 300 each 1188 3564 10 3920 pink pig cotton face masks mouth cover washable 2 crewcuts shoes 200 each 1200 2400 10 2640 3 puma boys youth universal fg 500 each 1999 9995 10 10994 jr soccer cleats 5 white high risk red black 5y florsheim kids boys sz 5 100 each 2500 2500 10 2750 black reveal oxford dress shoes 5 kids boys hiking garden 100 each 3188 3188 10 3507 sandals leisure closed toe fisherman beach shoes summer 6 childrens sports shoes 400 each 1999 7996 10 8796 breathable mesh boys casual shoes steve madden bserge boys 300 each 3995 11985 10 13184 black dress leather loafer shoes us 4 nib summary vat net worth vat gross worth 10 41628 4163 45791 total 41628 4163 45791 key
"Invoice Number: 77980602, Date: 05/07/2017, Seller: , Client: cohen-fleming hoffman-foley usns osborne 494 harris villages apt: 528 fpo ae 80018 north shane ct 06537",N/A,net worth vat gross worth beach lunch lounge striped 200 each 1699 3398 10 3738 shirt dress large navy blue white long sleeve causal 2 jams world hawaiian dress 300 each 6500 19500 10 21450 rayon sz.l 3 talbots petite 8 navy white 300 each 1499 4497 10 4947 dandelion puffs sleeveless dress j crew a line ponte dress red 100 each 1175 1175 10 1293 size 0 summary vat net worth vat gross worth 10 28570 2857 31427 total 28570 2857 31427
"Invoice Number: 29870205, Date: 03/15/2013, Seller: , Client: banks wright and mills white llc 13451 taylor mountain uscgc duran lake lauren fl 85948 fpo ap 85163",N/A,net worth vat gross worth durango lil little kid western 300 each 6800 20400 10 22440 casual western purple boys size 2 m 2 nwt adidas pulseboost hd big 500 each 8499 42495 10 46745 kid casual running shoes boys black size 4 3 ricosta bge everyday 500 each 4500 22500 10 24750 casual sandals new size 33/ us timberland kids brown field 400 each 3999 15996 10 17596 scuff-proof boots size 5 5 youth boys big kids nike 100 each 8999 8999 10 9899 jordan 6-17-23 basketball white red black 428818 100 summary vat net worth vat gross worth 10 1 10390 11039 1 21429 total 1 10390 11039 1 21429 boys
"Invoice Number: 97776691, Date: 04/16/2014, Seller: , Client: acosta-mendoza malone pierce and morgan 020 daniel motorway apt: 995 1163 katie roads east jacobtown az 24921 stephanieland mn 25123",N/A,net worth vat gross worth handheld video game console 100 each 1599 1599 10 1759 400 in 1 mini retro console built in video games 2 sony playstation2 slim console 300 each 9000 27000 10 29700 set scph-9ooo0 white tested working 11194 3 ex playstation ps vita console 400 each 14998 59992 10 65991 pch-ioooabo4 pch-10o0 sapphire blue 4gb 001904 8gb 4.3 retro handheld game 300 each 2999 8997 10 9897 console portable video game built-in 10000 games 5 b400 nintendo 3ds console 300 each 1499 97 10 4947 gloss pink japan x 6 nintendo gameboy color 400 each 12000 48000 10 52800 console clear with box manual cgb-001 gbc japan tested 63 nintendo wii black console 400 each 5295 21180 10 23298 bundle 2 remotes sensor numchuk tested works summary vat net worth vat gross worth 10 1 71265 17126 1 88391 total 1 71265 17126 1 88391 449
"Invoice Number: 57475368, Date: 06/19/2020, Seller: , Client: hayes-sanders warren campbell and cohen 994 stephen walks apt: 088 2858 hood trail port andreamouth va 99159 port carolynberg tn 82356",N/A,net worth vat gross worth nintendo wii u console 500 each 7999 39995 10 43995 deluxe/handheld bundle 2 nintendo dsoriginal ntr-001 500 each 099 495 10 545 console camouflage tested works 3 nintendo game boy micro 100 each 13000 13000 10 14300 console black oxysfbb sega v saturn victor console 300 each 10999 32997 10 36297 rg-jx1 tested working japan 5 playstation 1 psl console 100 each 1499 1499 10 1649 model scph-7501 6 nintendo wii console 2 sets 300 each 9999 29997 10 32997 controllers plus ali cables included works great nintendo gamecube system 100 each 15999 15999 10 17599 console bundle mario sunshine genuine controller lot summary vat net worth vat gross worth 10 1 33982 13398 1 47380 total 1 33982 13398 1 47380 gray sony
"Invoice Number: 58715920, Date: 01/05/2015, Seller: , Client: adams-kelly moore inc 6437 jeff junctions suite 405 688 weeks manors thompsonside hl 18600 lake jasonland wv 37430",N/A,net worth vat gross worth 1. 3x2 black marvels top dining 400 each 2 58500 10 34000 10 11 37400 table italian handmade floral art christmas gift 2 18 white marble coffee table 200 each 39464 78928 10 86821 top carnelian floral inlay art furniture gift w541 3 48 inches marble coffee table 100 each 3 40000 3 40000 10 3 74000 top inlay with yellow stone art dinette table top 24x24 black marble round 100 each 1 18800 1 18800 10 1 30680 top center table florals inlaid art christmas gift 5 15xl5 white marble coffee 300 each 57599 1 72797 10 1 90077 table top with 15 tall stand semi precious art deco summary vat net worth vat gross worth 10 17 44525 1 74453 19 18978 total 17 44525 1 74453 19 18978
"Invoice Number: 92354720, Date: 07/05/2018, Seller: , Client: delgado smith and austin randolph inc 1176 lisa square 5504 nicholas ramp lake brittanytown de 97264 lake jamesview mo 66052",N/A,net worth vat gross worth pier 1 multi-color cordial 500 each 3000 15000 10 16500 liqueur wine glasses set of 4 2 uncork new york rolling 100 each 599 599 10 659 vineryards wine glass set of 2 3 1pc european type wine glass 300 each 3925 11775 10 12953 holder beautiful goblet storage rack silver 1pc wine glass holder beautiful 200 each 1745 3490 10 3839 goblet storage cup draining rack black 5 wild west wine 500 each 2700 13500 10 14850 6 ol red wine glasses ball mason 200 each 3500 7000 10 7700 jar fancy rednecks set of 2 in box summary vat net worth vat gross worth 10 51364 5136 56500 total 51364 5136 56500 new
"Invoice Number: 81432357, Date: 07/30/2020, Seller: , Client: tran llc golden gross and rivera 286 marilyn crescent 299 megan bypass apt 471 new jonathanborough ct 67755 robertview co 69857",N/A,net worth vat gross worth 1. 18 handmade white top chess 200 each 52500 1 05000 10 1 15500 table inlaid mosaic gemstone art halloween gift art 2 marble top side table tiger eye 300 each 34148 1 02444 10 1 12688 gem marquetry pietradura garden decor arts h469 3 6 pack metal plated table locks 300 each 1273 3819 10 4201 dining training table buckles connectors hardwar 36 inches marble dinning table 500 each 1 45125 7 25625 10 7 98187 hand inlaid office table with multi gemstones summary vat net worth vat gross worth 10 9 36888 93689 10 30577 total 9 36888 93689 10 30577 top
"Invoice Number: 38710038, Date: 07/27/2013, Seller: , Client: ruiz-foster miller baldwin and nichols 7339 nicole creek 11689 debra corner lake olivia nh 07932 carlmouth al 23480",N/A,net worth vat gross worth alarco gaming pc desktop 300 each 50000 1 50000 10 1 65000 computer intel i5/ 86v 1tbv win 10/ nvidia gtx 650 1gb 2 alarco gaming pc desktop 500 each 50000 2 50000 10 2 75000 computer intel i5 8g1tbwinlowifinvidia gtx 650 1gb 3 dell optiplex 390 sff computer 300 each 5995 17985 10 19784 windows pro i3 3.1oghz 4gb ram 232gb hdd dell optiplex all in one 200 each 12999 25998 10 28598 windows 10 desktop computer 780 3.oghz 4gb 250gb 19 lcd 5 dell optiplex 790 computer i7 500 each 15999 79995 10 87995 3.40 ghz quad core 250gb 4gb working hp all in one desktop computer 100 each 20500 20500 10 22550 touch screen summary vat net worth vat gross worth 10 5 44478 54448 5 98926 total 5 44478 54448 5 98926
"Invoice Number: 39077025, Date: 12/15/2011, Seller: , Client: daniel-benson mcdonald jordan and malone 197 willis centers 1763 lee square port timothy md 18119 west stacymouth ct 72038",N/A,net worth vat gross worth 1. nintendo switch animal 300 each 39900 1 19700 10 1 31670 crossing: new horizon special edition console brand new 2 b408 nintendo gameboy color 200 each 7499 14998 10 16498 console ice blue toysrus limited japan gbc rear x 3 nintendo 64 n64 console 400 each 26999 1 07996 10 1 18796 complete in box mint beautifull from japan pss - playstation 5 console disc 100 each 82000 82000 10 90200 version confirmed preorder 5 sony playstation2 console 500 each 6000 30000 10 33000 scph-39000 aqua color tested 11179 summary vat net worth vat gross worth 10 3 54694 35469 3 90163 total 3 54694 35469 3 90163
"Invoice Number: 59051048, Date: 12/12/2015, Seller: , Client: howell underwood and davis gardner llc 28530 aaron rapid 5115 meza mountain suite 952 port michelleland ar 51018 lopezland ma 27123",N/A,net worth vat gross worth 1. vintage gothic lolita dress 200 each 2277 4554 10 5009 women loose puff sleeve pure color princess dresses 2 stellaluxe one shoulder lace 300 each 2500 7500 10 8250 dress 3 s.l. fashions size 16 stretch 200 each 1550 3100 10 3410 bodice dress old navy womens sleeveless 300 each 1200 3600 10 3960 rayon dress hawaiian floral print size xs 5 athleta coral paisley print 200 each 3999 7998 10 8798 stretch ruching wrap athletic dress size summary vat net worth vat gross worth 10 26752 2675 29427 total 26752 2675 29427
"Invoice Number: 16543713, Date: 11/21/2016, Seller: , Client: hoover nunez and lewis garrett llc 15174 wilson glen 3733 hill heights east carolmouth az 89797 frankland ny 73888",N/A,net worth vat gross worth 1. 6x3 elegant marble black top 200 each 5 46938 10 93876 10 12 03264 dining table italian inlay furniture decor e964b 2 36 inches marble meeting table 500 each 1 37625 6 88125 10 56937 top inlay dinning table with red jasper stone art 3 6x3 black marble large dining 200 each 5 30366 10 60732 10 11 66805 table top very fine handmade marquetry birds art 60 inches marble dinning table 500 each 5 75600 28 78000 10 31 65800 top inlay work lawn table with multi color stones 5 yellow stone royal art marble 500 each 6 75600 33 78000 10 37 15800 dinning table top round garden table top 60 inches 6 5x2 marble white center table 300 each 3 88889 11 66667 10 12 83334 top with 18 tall stand pauashell inlay art deco 12 white marble side coffee 200 each 24778 49556 10 54512 table top jasper elephant inlay garden decor w026 summary vat net worth vat gross worth 10 103 14956 10 31496 113 46452 total 103 14956 10 31496 113 46452
"Invoice Number: 86504530, Date: 08/03/2014, Seller: , Client: campbell hernandez and myers ward stewart and bennett 7539 silva island unit 3754 box 7172 west vincentbury nj 79795 dpo aa 86105",N/A,net worth vat gross worth 1. 5x2 marble white center table 300 each 3 88889 11 66667 10 12 83334 top with 18 tall stand pauashell inlay art deco 2 4x2 black center top table 200 each 3 68800 7 37600 10 8 11360 italian marquetry gemstone art columbas gift 3 4pcs adjustable stainless steel 300 each 1195 3585 10 3943 cabinet legs kitchen feet round stand holders summary vat net worth vat gross worth 10 19 07852 1 90785 20 98637 total 19 07852 1 90785 20 98637 day
"Invoice Number: 30083114, Date: 12/19/2016, Seller: , Client: smith garcia and brown diaz llc 018 joseph parkway 97546 brown hills apt. 820 charlesside or 90692 sarahmouth dc 58341",N/A,net worth vat gross worth dc kids turbo skate shoe little 400 each 5500 22000 10 24200 kid/big kid color whiteiroyal 2 ail mattel disney pixar model 100 each 1299 1299 10 1429 cars mcqueen 1:55 diecast lot choose loose kid 3 sps face masks men women 200 each 439 878 10 966 unisex kid cover clothing mask reusable washable cloth 100pcs wall stickers home 100 each 170 170 10 187 decor glow in the dark star sticker decal kids room 5 reebok boys furylite graphic 400 each 2899 11596 10 12756 gray athletic shoes 6 medium d big kid bhfo 0924 nike dangeruss wilson youth 300 each 1995 5985 10 6583 flex shoes green blue sneakers kids size 12.5 durango lil little kid western 200 each 6800 13600 10 14960 casual western purple boys size 2 m summary vat net worth vat gross worth 10 55528 5553 61081 total 55528 5553 61081 toy
"Invoice Number: 45141161, Date: 11/18/2011, Seller: , Client: webster-pierce carter kelley and scott 584 howell gateway apt. 071 10615 parker squares suite 427 christinaport de 37391 waltershaven tn 05191",N/A,net worth vat gross worth 1. 24 sale online coffee 200 each 1 18800 2 37600 10 2 61360 table marquetry inlay floral design christmas gift 2 18 black marble coffee table 400 each 37765 1 51060 10 1 66166 top mother of pearl inlay furniture decors h1883b 3 used t shirt blue 500 each 6000 30000 10 33000 12 white marble coffee table 200 each 29573 59146 10 65061 malachite precious inlay decor furniture w534 summary vat net worth vat gross worth 10 4 77806 47781 5 25587 total 4 77806 47781 5 25587 top top
"Invoice Number: 27006132, Date: 09/18/2017, Seller: , Client: vasquez and lewis white hayes and blackwell 306 patricia unions apt: 017 987 adams loop apt: 228 larsonside hi 79833 bruceview wy 49509",N/A,net worth vat gross worth amd custom built quad core 100 each 59999 59999 10 65999 ryzen 5 gaming pc computer 8gb ddr4 vega 11 ssd 2 intel compute stick 32gb intel 500 each 4500 22500 10 24750 atom 1.33ghz 2gb pc desktop 3 hp prodesk zth gen. 16gb 400 each 27900 1 11600 10 1 22760 2tb ssd windows 10 pro desktop computer pc wifi fast dell optiplex desktop pc 400 each 21700 86800 10 95480 computer dual core 3.4ghz 8gb 1tb win 10 pro wifi 5 sama rgb gaming pc desktop 500 each 40000 2 00000 10 2 20000 computer i5 3.7ghz nvidia gtx 1060 16gb windows 10 summary vat net worth vat gross worth 10 4 80899 48090 5 28989 total 4 80899 48090 5 28989 may
"Invoice Number: 35014787, Date: 01/17/2012, Seller: , Client: rich bentley and schmidt avila and sons 2436 hammond shores 571 robinson creek port ashley nd 99052 north deborahview ct 06884",N/A,net worth vat gross worth set of 2 etched hers and 400 each 400 1600 10 1760 hers too wine glasses 2 galvanized metal wine caddy 200 each 3495 6990 10 7689 european style wine rack 500 each 767 3835 10 4219 plastic water bottle display mat wine holder organizer one pebbled confetti glass 200 each 899 1798 10 1978 wine water goblet 12 0z 8 tall summary vat net worth vat gross worth 10 14223 1422 15645 total 14223 1422 15645
"Invoice Number: 46460686, Date: 12/23/2017, Seller: , Client: barnes parks and jenkins caldwell whitehead and schwartz 1634 david tunnel 976 andrea summit suite 169 lake travis oh 97947 jasonburgh il 72754",N/A,net worth vat gross worth 7xlo diamond geometric rugs 500 each 35000 1 75000 10 1 92500 contemporary black color large mat dhurrie carpet 2 yilong 4x6 traditional 400 each 3 60000 14 40000 10 15 84000 handmade carpet parlor home hand knotted silk rugs 084b 3 war horse series small large 100 each 3630 3630 10 3993 long floor carpet area rugs various size soft rug deluxe soft faux sheepskin 300 each 1402 4206 10 4627 shaggy area floor rugs kids carpet 5 yilong 1.2x1.7 300l 300 each 18800 56400 10 62040 handmade tree of life silk carpet home tapestry lh693a summary vat net worth vat gross worth 10 16 79236 1 67924 18 47160 total 16 79236 1 67924 18 47160 play
"Invoice Number: 63279909, Date: 01/27/2012, Seller: , Client: jacobson-wilson baker plc 842 jessica port 27210 allison wilsonborough nc 68492 new michellefort nh 37075",N/A,net worth vat gross worth 1. nintendo 64 pokemon pikachu 100 each 19998 19998 10 21998 limited edition video game console set 2 b360 nintendo 2ds console 200 each 2999 5998 10 6598 blue japan summary vat net worth vat gross worth 10 25996 2600 28596 total 25996 2600 28596 rue
"Invoice Number: 33310882, Date: 01/23/2020, Seller: , Client: brown group davis hogan and hardin 2672 rodriguez parks 456 snyder crossroad lindseyfort tn 83907 new erikmouth ia 43321",N/A,net worth vat gross worth nec pc engine interface unit 500 each 15999 79995 10 87995 ifu-30 cd rom console pi-tgoo1 tested japan 2 original xbox console works 300 each 3800 11400 10 12540 great tested 3 super nintendo snes system 400 each 14999 59996 10 65996 console sns-001 with 2 controllers cleaned and tested nintendo blue wii system 400 each 9998 39992 10 43991 game console complete with 2 motion remotes tested work 5 magnavox odyssey 2 200 each 15500 31000 10 34100 microprocessor console system w joy sticks 15 games 1978 summary vat net worth vat gross worth 10 2 22383 22238 2 44621 total 2 22383 22238 2 44621
"Invoice Number: 37598290, Date: 09/04/2016, Seller: , Client: beck martin and jones kent russell and dixon 96795 warner walks apt: 050 455 travis isle amandaburgh ak 23688 south stephen nc 82421",N/A,net worth vat gross worth 1. nintendo wii u wup-10102 300 each 4000 12000 10 13200 32gb console black us model 2 new sony playstation 4 slim 500 each 39999 1 99995 10 2 19995 1tb 3 game bundle console sealed 3 nintendo wii original 8gb 200 each 4500 9000 10 9900 black home console nintendo 64 console complete 300 each 24999 74997 10 82497 in box with extra controller summary vat net worth vat gross worth 10 2 95992 29599 3 25591 total 2 95992 29599 3 25591
"Invoice Number: 68378638, Date: 10/11/2018, Seller: , Client: lewis-moyer benson-marshall usnv jones 99520 michael stravenue fpo ae 94808 east karen la 73024",N/A,net worth vat gross worth 1. vintage cobalt blue spiral 400 each 3000 12000 10 13200 stemmed wine glasses pair 2 rabbit wine tool kit 6 piece set 400 each 2420 9680 10 10648 open box sealed 3 6 spiegelau crystal tasting 300 each 5900 17700 10 19470 wine glasses germany detailed stems excellent shape retired pampered chef wine 400 each 1795 7180 10 7898 bottle corkscrew hand opener new 5 2 cakebread cellars napa 100 each 2995 2995 10 3295 valley wine glasses galvanized metal wine caddy 400 each 3495 13980 10 15378 summary vat net worth vat gross worth 10 63535 6354 69889 total 63535 6354 69889
"Invoice Number: 94098997, Date: 10/04/2020, Seller: , Client: snyder bryan and booth ashley-perry 380 hoffman manors psc 1999 box 5007 port roberto ar 94907 apo ae 45315",N/A,net worth vat gross worth 25x25 white marble 200 each 2 72800 5 45600 10 00160 counter table carnelian marquetry art columbus day gift 2 dealer-rita antique rust tree 100 each 2 59900 2 59900 10 2 85890 root bark coffe table georgeous nakashima 3 4x2 marble black center 100 each 3 28800 3 28800 10 3 61680 table mosaic gemstone patio art black friday gift 12xl2 wild agate stone side 100 each 25977 25977 10 28575 coffee table top handicrafted kitchen decors a042 5 18 marble white top chess 400 each 56100 2 24400 10 2 46840 table handmade collectible black friday gift decor summary vat net worth vat gross worth 10 13 84677 1 38468 15 23145 total 13 84677 1 38468 15 23145 top top
"Invoice Number: 69556867, Date: 02/14/2017, Seller: , Client: houston group harding inc 9800 austin course suite 698 35539 sims plaza apt: 206 arthurville nv 00887 cassandraburgh ca 57710",N/A,net worth vat gross worth 1. sony playstation 3 ps3 500 each 11999 59995 10 65994 cech-2s01a slim 150gb black console tested 2 sony playstation gray ps1 400 each 2199 8796 10 9676 consolel console only tested working 3 nintendo wii console rvl-001 500 each 7888 39440 10 43384 complete hookups w/ mariosonic tested working summary vat net worth vat gross worth 10 1 08231 10823 1 19054 total 1 08231 10823 1 19054
"Invoice Number: 51467723, Date: 04/21/2019, Seller: , Client: johnson-brooks proctor morgan and williams 3584 kristina glens 9074 edward burg suite 328 new cory in 89490 nicolasport oh 05143",N/A,net worth vat gross worth 1. 25x25 marble black top 500 each 2 78900 13 94500 10 15 33950 custom table carnelian marquetry art halloween gift 2 7x4 marble side dining 100 each 14 72108 14 72108 10 16 19319 outdoor table top lapis pietra dura hallway e960 3 4x2 marble black center 300 each 3 28800 9 86400 10 10 85040 table mosaic gemstone patio art black friday gift 6x3 white marble living room 400 each 5 59021 22 36084 10 24 59692 dining table top marquetry inlay furniture h4743a 5 6x3 black marble inlaid dining 400 each 7 52506 30 10024 10 33 11026 center table top peacock inlay patio decor e966 6 12 marble side coffee table 100 each 25004 25004 10 27504 top malachite mosaic floral inlay garden decor w168 24x24 white marble top 200 each 2 78800 5 57600 10 13360 counter table 18 tall multi color stone elephant art summary vat net worth vat gross worth 10 96 81720 9 68172 106 49892 total 96 81720 9 68172 106 49892 inlay top
"Invoice Number: 50956755, Date: 09/06/2019, Seller: , Client: miller inc conley-irwin 9465 roger lane uscgc jordan west omar wy 98883 fpo ae 99678",N/A,net worth vat gross worth 1. semi antique classic 100 each 84365 84365 10 92802 95x126 handmade living room oriental rug carpet 2 yilong 6x9 handmade silk 100 each 12 96000 12 96000 10 14 25600 rug beige living room luxury home decor carpet 0992 3 3x5 ft cotton chindi rug dining 500 each 1785 8925 10 9818 room carpet floor mat handwoven area rug throw double dorje carpet tibetan 100 each 29700 29700 10 32670 rug handwoven by artisans in nepal 5 yilong 4x6 yellow handmade 400 each 3 60000 14 40000 10 15 84000 carpet dining room hand knotted silk rugs 083b 6 beige color hand knotted 2x4 200 each 17000 34000 10 37400 afghan kilim rug carpet traditional ghazni floral red traditional oriental 300 each 3998 11994 10 13193 medallion 8x10 area rug carpet 2x3 mat sx7 rugs summary vat net worth vat gross worth 10 29 04984 2 90498 31 95482 total 29 04984 2 90498 31 95482 ivory
"Invoice Number: 41887329, Date: 11/26/2020, Seller: , Client: lee inc olsen ltd 6105 sutton island apt: 904 uscgc mann lisastad nh 90114 fpo aa 99322",N/A,net worth vat gross worth yilong 2.5x4 hand knotted silk 200 each 2 00000 4 00000 10 4 40000 carpets home decor floral area rugs 846b 2 yilong 4x6 traditional 300 each 3 60000 10 80000 10 11 88000 handmade carpet parlor home hand knotted silk rugs 084b 3 moroccan amazigh handmade 400 each 34200 1 36800 10 1 50480 carpet 142 x 75 fluffy rug carpet non slip soft 300 each 859 2577 10 2835 area rugs bathroom room round floor mat washable 5 color skull series small large 400 each 3630 14520 10 15972 long floor carpet area rugs various size soft rug new design rectangular hand 400 each 2999 11996 10 13196 woven chindi rag rug floor handmade carpet aztec mat double dorje carpet tibetan 300 each 29700 89100 10 98010 rug handwoven by artisans in nepal summary vat net worth vat gross worth 10 17 34993 1 73499 19 08492 total 17 34993 1 73499 19 08492
"Invoice Number: 76880869, Date: 08/13/2018, Seller: , Client: montoya-williams walker anderson and medina unit 7304 box 5404 1360 allen villages suite 481 dpo aa 95089 francisborough wa 82514",N/A,net worth vat gross worth pre sega toys game console 500 each 18900 94500 10 1 03950 astro city mini game 2 xbox one x 1tb 4k black video 500 each 41999 2 09995 10 2 30995 game console system factory sealed brand new 3 nintendo wii white console 200 each 9999 19998 10 21998 rvl-001 bundle game cube compatible controllers senso nintendo n64 atomic purple 300 each 5100 15300 10 16830 console in box mario kart in box extras 5 nintendo 64 n64 console black 500 each 4999 24995 10 27495 japan tested working nusha 6 nintendo switch lite console 300 each 31000 93000 10 1 02300 gray with animal crossing new horizons game 8gb 4.3 retro handheld game 200 each 2999 5998 10 6598 console portable video game built-in 10000 games summary vat net worth vat gross worth 10 4 63786 46379 5 10165 total 4 63786 46379 5 10165
"Invoice Number: 44848471, Date: 03/26/2021, Seller: , Client: proctor levy and willis roth morris and schultz 2297 jessica locks apt: 407 623 rebekah causeway jonside la 78714 gregoryport nd 69850",N/A,net worth vat gross worth adidas baseball youth cleats 200 each 1199 2398 10 2638 spikes kids shoes black white size 12k 2 puma rs dreamer super 500 each 12500 62500 10 68750 mario 64 nintendo little kids us 2.5 3 boys black dress shoes 300 each 450 1350 10 1485 nwt vans boysiyouth sk8-hi 400 each 2499 9996 10 10996 mte sneakersishoes size 13.brand new for 2020 wow summary vat net worth vat gross worth 10 76244 7624 83868 total 76244 7624 83868
"Invoice Number: 25844703, Date: 07/09/2013, Seller: , Client: kim ltd steele plc 1544 joseph apt: 340 99067 paula inlet suite 161 judyhaven sc 65215 north stephanie ma 72758",N/A,net worth vat gross worth yellow marble royal look 300 each 07600 18 22800 10 20 05080 marble inlay table top handmade dinning table 60 inches 2 24 inches round marble coffee 300 each 44625 1 33875 10 1 47263 table top inlay sofa table with geometrical design 3 7x4 collectible marble green 500 each 13 53606 67 68030 10 74 44833 dining table top floral inlay design decor e997 72 inches marble dinning table 500 each 8 40000 42 00000 10 46 20000 top pietra dura art lawn table for home furniture 5 54 inches marble dinning table 300 each 4 60000 13 80000 10 15 18000 top inlay restaurant table with peacock design multi color stones inlay art 200 each 51750 1 03500 10 1 13850 coffee table top marble patio sofa table 27 inches summary vat net worth vat gross worth 10 144 08205 14 40820 158 49025 total 144 08205 14 40820 158 49025 alley
